Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
ascending aorta,ascending aorta,,,,,,,,,,,,,,cardiovascular system,1,0,38,ascending aorta
atrial septum,atrial septum,,,,,,,,,,,,,,cardiovascular system,1,0,39,atrial septum
adrenal gland cortex,adrenal gland cortex,,,,,,,,,,,,,AdrenalCortex,endocrine system,1,0,884,adrenal gland
neutrophil,neutrophil,Bloodcells.neutrophil.granulocyte..CD11B.,,,,,neutrophil,,,,,,,,immune system,2,211,954,neutrophil
atrioventricular node,atrioventricular node,,,,,,,,,,,,,,cardiovascular system,2,29,41,heart
T cell CD4 naive,,Bloodcells.T.lymphocyte.CD4.,,,,,naive.CD4.T.cell,,,,,cd4.Tcell,Tcells_CD4,CD4,immune system,#N/A,#N/A,1039,T cell
T cell CD8 naive,,Bloodcells.T.lymphocyte.CD8.,,,,,naive.CD8.T.cell,,,,,cd8.Tcell,Tcells_CD8,CD8,immune system,#N/A,#N/A,1040,T cell
auricular artery,auricular artery,,,,,,,,,,,,,,cardiovascular system,1,0,44,auricular artery
auricular vein,auricular vein,,,,,,,,,,,,,,cardiovascular system,1,0,45,auricular vein
axillary artery,axillary artery,,,,,,,,,,,,,,cardiovascular system,1,0,46,axillary artery
axillary vein,axillary vein,,,,,,,,,,,,,,cardiovascular system,1,0,47,axillary vein
azygos vein,azygos vein,,,,,,,,,,,,,,cardiovascular system,1,0,48,azygos vein
back blood vessel,back blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,49,back blood vessel
basilar artery,basilar artery,,,,,,,,,,,,,,cardiovascular system,1,0,50,basilar artery
basilic vein,basilic vein,,,,,,,,,,,,,,cardiovascular system,1,0,51,basilic vein
basophil,basophil,,,,,,,,,,,,,,cardiovascular system,1,0,52,basophil
blood vessel,blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,56,blood vessel
blood vessel endothelium,blood vessel endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,57,blood vessel endothelium
blood vessel smooth muscle,blood vessel smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,58,blood vessel smooth muscle
brachial artery,brachial artery,,,,,,,,,,,,,,cardiovascular system,1,0,59,brachial artery
brachial vein,brachial vein,,,,,,,,,,,,,,cardiovascular system,1,0,60,brachial vein
brachiocephalic trunk,brachiocephalic trunk,,,,,,,,,,,,,,cardiovascular system,1,0,61,brachiocephalic trunk
brain blood vessel,brain blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,62,brain blood vessel
bronchial artery,bronchial artery,,,,,,,,,,,,,,cardiovascular system,1,0,63,bronchial artery
bronchial vein,bronchial vein,,,,,,,,,,,,,,cardiovascular system,1,0,64,bronchial vein
buccal artery,buccal artery,,,,,,,,,,,,,,cardiovascular system,1,0,65,buccal artery
buccal vein,buccal vein,,,,,,,,,,,,,,cardiovascular system,1,0,66,buccal vein
capillary,capillary,,,,,,,,,,,,,,cardiovascular system,1,0,67,capillary
capillary endothelium,capillary endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,68,capillary endothelium
cardiovascular system endothelium,cardiovascular system endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,69,cardiovascular system endothelium
arch of aorta,arch of aorta,,,,,,,,,,,,,,cardiovascular system,2,37,24,arterial blood vessel
carotid body,carotid body,,,,,,,,,,,,,,cardiovascular system,1,0,71,carotid body
caudal auricular vein,caudal auricular vein,,,,,,,,,,,,,,cardiovascular system,1,0,72,caudal auricular vein
caudal humeral circumflex vein,caudal humeral circumflex vein,,,,,,,,,,,,,,cardiovascular system,1,0,73,caudal humeral circumflex vein
celiac artery,celiac artery,,,,,,,,,,,,,,cardiovascular system,1,0,74,celiac artery
cephalic vein,cephalic vein,,,,,,,,,,,,,,cardiovascular system,1,0,75,cephalic vein
cerebellar artery,cerebellar artery,,,,,,,,,,,,,,cardiovascular system,1,0,76,cerebellar artery
cerebellar vein,cerebellar vein,,,,,,,,,,,,,,cardiovascular system,1,0,77,cerebellar vein
cerebral artery,cerebral artery,,,,,,,,,,,,,,cardiovascular system,1,0,78,cerebral artery
cerebral vein,cerebral vein,,,,,,,,,,,,,,cardiovascular system,1,0,79,cerebral vein
cervical artery,cervical artery,,,,,,,,,,,,,,cardiovascular system,1,0,80,cervical artery
cervical trunk,cervical trunk,,,,,,,,,,,,,,cardiovascular system,1,0,81,cervical trunk
chest blood vessel,chest blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,82,chest blood vessel
common carotid artery,common carotid artery,,,,,,,,,,,,,,cardiovascular system,1,0,83,common carotid artery
common dorsal aorta,common dorsal aorta,,,,,,,,,,,,,,cardiovascular system,1,0,84,common dorsal aorta
common iliac artery,common iliac artery,,,,,,,,,,,,,,cardiovascular system,1,0,85,common iliac artery
common iliac vein,common iliac vein,,,,,,,,,,,,,,cardiovascular system,1,0,86,common iliac vein
common palmar digital arteries,common palmar digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,87,common palmar digital arteries
common palmar digital vein,common palmar digital vein,,,,,,,,,,,,,,cardiovascular system,1,0,88,common palmar digital vein
common plantar digital arteries,common plantar digital arteries,,,,,,,,,,,,,,cardiovascular system,1,0,89,common plantar digital arteries
common plantar vein,common plantar vein,,,,,,,,,,,,,,cardiovascular system,1,0,90,common plantar vein
communicating artery,communicating artery,,,,,,,,,,,,,,cardiovascular system,1,0,91,communicating artery
appendix,appendix,Cecal.appendix.mid,,,,,appendix,,,,,,,Appendix,digestive system,2,166,623,appendix
costo-cervical trunk,costo-cervical trunk,,,,,,,,,,,,,,cardiovascular system,1,0,93,costo-cervical trunk
cutaneous vein,cutaneous vein,,,,,,,,,,,,,,cardiovascular system,1,0,94,cutaneous vein
deep iliac circumflex vein,deep iliac circumflex vein,,,,,,,,,,,,,,cardiovascular system,1,0,96,deep iliac circumflex vein
